SRY,Xmap,Ymap,XH,XYratio
SampleBaseModel_1,0.048769823469170394,0.0063131770805706375,0.681892,7.725084034037926
SampleBaseModel_2,0.0482275064829895,0.015387334478119682,0.562756,3.134233973503828
SampleBaseModel_3,0.047979670376214825,0.015305793350274686,0.631747,3.1347391983019133
SampleBaseModel_4,0.04773503267890327,0.015069393007537495,0.647774,3.1676811836433547
SampleBaseModel_5,0.04788574921527424,0.01532413035050363,0.653291,3.12485916786139
SampleBaseModel_6,0.047985164213204555,0.015550628826425855,0.655496,3.0857378662180714
SampleBaseModel_7,0.04786036697310796,0.015277994973194459,0.619887,3.132634030648649
SampleBaseModel_8,0.04792846211469059,0.015436679566442535,0.597012,3.1048427162329157
SampleBaseModel_9,0.04814292609014331,0.015377955703831759,0.554528,3.13064538728951
SampleBaseModel_10,0.049286607219910857,0.014736371782819436,0.560814,3.3445550876622288
SampleBaseModel_11,0.049120696271511485,0.014680322831867392,0.627535,3.3460228929627123
SampleBaseModel_12,0.048834657432918954,0.01444898595496358,0.645041,3.379798249173538
SampleBaseModel_13,0.04913910660756419,0.014650434820992956,0.657087,3.3541056772698377
SampleBaseModel_14,0.049053369126989564,0.014878998688891525,0.658851,3.296819238488958
SampleBaseModel_15,0.0488970389171604,0.014649928672504973,0.619439,3.3376980878364613
SampleBaseModel_16,0.04917713590465673,0.014777743352957774,0.596363,3.3277838659184655
SampleBaseModel_17,0.04926044521467333,0.014782494693832015,0.550497,3.332349933819169
SampleBaseModel_18,0.04810397854799036,0.011431541176208416,0.957763,4.208004660658132
SampleBaseModel_19,0.049300632971334475,0.011461722456702206,0.555902,4.301328457181938
SampleBaseModel_20,0.049130705150784874,0.011429731561294074,0.627098,4.298500352988368
SampleBaseModel_21,0.04904835897414046,0.011334430749148585,0.638998,4.3273773566285945
SampleBaseModel_22,0.04901137732615043,0.011439110002342393,0.64288,4.284544629443579
SampleBaseModel_23,0.04918231101706935,0.011494988394510847,0.649612,4.278587270306003
SampleBaseModel_24,0.048992505295173246,0.011412097674747034,0.619606,4.293032419761447
SampleBaseModel_25,0.049065519323978235,0.011497411548826584,0.592548,4.267527444382542
SampleBaseModel_26,0.049198630193651845,0.01147084850014072,0.543524,4.289014033534511
SampleBaseModel_27,0.09421129155103561,0.0018279712984848972,0.65569,51.53871487431015
SampleBaseModel_28,0.09377080277805878,0.0018456507041860954,0.689992,50.806364695864985
SampleBaseModel_29,0.09337212619696521,0.0018508011717180272,0.703296,50.449571582176745
SampleBaseModel_30,0.0938766643060702,0.0018533464261894532,0.707753,50.65251858989147
SampleBaseModel_31,0.09379206409273766,0.0018549998768790858,0.717217,50.561762974635116
SampleBaseModel_32,0.09348543448301116,0.0018651686495372527,0.694872,50.12170588767126
SampleBaseModel_33,0.09377641747146319,0.0018652099836927074,0.677897,50.2766006462213
SampleBaseModel_34,0.09414882874552137,0.0018651331310227616,0.643024,50.47834236577743
SampleBaseModel_35,0.04923901497781578,0.01639888911468795,0.570904,3.0025823477100047
SampleBaseModel_36,0.049058694573201854,0.016282824282457305,0.637526,3.012910642661447
SampleBaseModel_37,0.0487910078479192,0.01605947421962574,0.655533,3.0381447848581096
SampleBaseModel_38,0.0491049361948882,0.01633324092145903,0.659378,3.00644167504888
SampleBaseModel_39,0.049110904153838904,0.016615243152197534,0.665169,2.9557740265355967
SampleBaseModel_40,0.04889930611345871,0.016280188317402747,0.631332,3.0036081377011885
SampleBaseModel_41,0.04907677202541547,0.016530039456273585,0.601453,2.968944638954842
SampleBaseModel_42,0.04928885019681836,0.016314480995147106,0.550497,3.021171817324731
SampleBaseModel_43,0.09426236720490873,0.0017088632058058458,0.664274,55.16086184350701
SampleBaseModel_44,0.0939048217768216,0.0017141184918922493,0.69403,54.783156602644326
SampleBaseModel_45,0.09336630672360745,0.0017314251231039287,0.704506,53.92454197281688
SampleBaseModel_46,0.09380609817458573,0.0017061457948777399,0.712715,54.98129084642953
SampleBaseModel_47,0.09411763356068982,0.0017326903941844928,0.719922,54.318783018928876
SampleBaseModel_48,0.09359636599887922,0.0017453967954828243,0.696815,53.624692242538416
SampleBaseModel_49,0.09392617805485397,0.0017422289913108058,0.684252,53.9114998793508
SampleBaseModel_50,0.09412030818147837,0.0017125028096296123,0.654245,54.96067372983471
SampleBaseModel_51,0.09182795961196374,0.0019548368369721645,0.656643,46.97474381247877
SampleBaseModel_52,0.09143433125405398,0.0019565307054222286,0.695831,46.73288847481799
SampleBaseModel_53,0.09084489871743454,0.0019696916704227945,0.710029,46.12138035692392
SampleBaseModel_54,0.09131624270252903,0.0019539657275212735,0.711906,46.7337995832554
SampleBaseModel_55,0.09137066462466271,0.001956187968242466,0.717892,46.708530114697794
SampleBaseModel_56,0.09103197738597014,0.001978597860335026,0.699143,46.00832701322955
SampleBaseModel_57,0.09136345472317693,0.001976947558230778,0.684175,46.21440479935668
SampleBaseModel_58,0.09156433334580127,0.001963824987805332,0.650243,46.6255057932269
SampleBaseModel_59,0.04687490305357293,0.014475287660582606,0.941332,3.2382709174904436
SampleBaseModel_60,0.048467565193264214,0.01434393656947431,0.539119,3.378958416227889
SampleBaseModel_61,0.04836458874586495,0.014289188479672844,0.599874,3.3846980753781954
SampleBaseModel_62,0.04801617834762336,0.014110245211178504,0.614284,3.4029301141828276
SampleBaseModel_63,0.04816613017086463,0.01423228936416138,0.61773,3.384285474981471
SampleBaseModel_64,0.04817395358984168,0.014426923885136476,0.623781,3.3391701497415895
SampleBaseModel_65,0.04811536059650932,0.014157667162560237,0.594938,3.398537346869529
SampleBaseModel_66,0.048211085737965356,0.014421120189793147,0.565267,3.343088824132245
SampleBaseModel_67,0.04837533995551072,0.014259800301587548,0.520497,3.392427588914067
SampleBaseModel_68,0.04770027220778251,0.013778024857245991,0.941711,3.4620544455395215
SampleBaseModel_69,0.048944109992124604,0.013617655128985452,0.550391,3.594165774395776
SampleBaseModel_70,0.04876406859062413,0.01350584340239505,0.618313,3.6105904042968975
SampleBaseModel_71,0.0485247024494758,0.013355832893587534,0.634311,3.633221741848366
SampleBaseModel_72,0.0486732345365645,0.013510862223950218,0.63739,3.6025261548654686
SampleBaseModel_73,0.04876825848744316,0.013697481071613008,0.639677,3.560381520695194
SampleBaseModel_74,0.04862968763387085,0.01346229253998603,0.609253,3.6122887308703
SampleBaseModel_75,0.04876179823268793,0.013600528550133677,0.581024,3.5852870021149776
SampleBaseModel_76,0.048988964324335416,0.01355543490151928,0.5406,3.6139721580489303
SampleBaseModel_77,0.09053262655361523,0.001883501359562895,0.855344,48.06613284028909
SampleBaseModel_78,0.09303151518983739,0.0018150346481565101,0.618118,51.256054689825014
SampleBaseModel_79,0.09271438375697165,0.0018114216426440323,0.648491,51.18321520197891
SampleBaseModel_80,0.09248127796863286,0.0018294253917862983,0.660043,50.552090500029486
SampleBaseModel_81,0.09273017876759891,0.0018283655624238048,0.66389,50.71752644732027
SampleBaseModel_82,0.09279849765964457,0.0018546895856319185,0.671478,50.03451703106794
SampleBaseModel_83,0.09235250503999666,0.0018681225671466825,0.65373,49.43599882798549
SampleBaseModel_84,0.0928456889887796,0.0018493452019011326,0.639062,50.20462858601733
SampleBaseModel_85,0.09308961138627012,0.001819893723917149,0.604046,51.151125015093484
SampleBaseModel_86,0.04924525149247262,0.013539693868862213,0.651094,3.637102283805983
SampleBaseModel_87,0.04911466169813668,0.013463363867431653,0.717322,3.648023048455725
SampleBaseModel_88,0.048941590060385724,0.01331234612080386,0.732325,3.676406068191263
SampleBaseModel_89,0.049092949240896244,0.013427945094579315,0.732798,3.656028446282107
SampleBaseModel_90,0.049235455813679864,0.013611468698778368,0.337325,3.6172037642123627
SampleBaseModel_91,0.0489466843962746,0.013401350845031626,0.707676,3.652369448593381
SampleBaseModel_92,0.04908293892792623,0.013607196204917717,0.288482,3.607130976048348
SampleBaseModel_93,0.04924204023961499,0.013474587756627198,0.634351,3.6544376072207707
SampleBaseModel_94,0.049261049843432755,0.014201399591751296,0.568181,3.4687461278144314
SampleBaseModel_95,0.04908531467826061,0.014093455614825931,0.633681,3.482844521582358
SampleBaseModel_96,0.04880445561015103,0.01392848428657209,0.653012,3.5039315553668327
SampleBaseModel_97,0.04904714017359648,0.014170665477759138,0.656984,3.4611740888651963
SampleBaseModel_98,0.0490322151689728,0.014308390076088948,0.656577,3.4268156590804413
SampleBaseModel_99,0.048980631828815596,0.014108682541482937,0.623719,3.4716658826790314
SampleBaseModel_100,0.04901906422589482,0.01433876219695771,0.59792,3.418639876480782
SampleBaseModel_101,0.04924454215445698,0.014198167345984935,0.546428,3.46837313256367
SampleBaseModel_102,0.04901880907836361,0.015369386747147171,0.578106,3.1893796339962854
SampleBaseModel_103,0.04886055166923923,0.015237846980945258,0.651033,3.2065259436151807
SampleBaseModel_104,0.04867922551384164,0.015048890636988997,0.671846,3.234738472628136
SampleBaseModel_105,0.04872540662772992,0.015246769868049332,0.674113,3.195785536832782
SampleBaseModel_106,0.048908150008348986,0.015526501851284858,0.676564,3.1499786929984945
SampleBaseModel_107,0.0486821969205951,0.015202190148033829,0.652112,3.202314695878962
SampleBaseModel_108,0.0488785452719174,0.015391841541845277,0.617251,3.1756138561479443
SampleBaseModel_109,0.04900045533956473,0.015355388233796875,0.568317,3.191091921187365
SampleBaseModel_110,0.09502136267902385,0.0020191315631823453,0.621775,47.060510771898905
SampleBaseModel_111,0.09446960024533259,0.002034468371437895,0.654471,46.434538659632544
SampleBaseModel_112,0.09389040558867354,0.002050981031306111,0.661823,45.778290562191124
SampleBaseModel_113,0.09439982844314207,0.0020447089184994216,0.663113,46.16785674922402
SampleBaseModel_114,0.09450473874366655,0.0020367029720299136,0.662201,46.40084491528818
SampleBaseModel_115,0.09413701005528638,0.002059611863469875,0.649303,45.70618946459729
SampleBaseModel_116,0.09452137714581577,0.00202806885300051,0.632947,46.60659178605905
SampleBaseModel_117,0.09472619902273133,0.0020298656240383987,0.614071,46.666241302355
SampleBaseModel_118,0.09503868677286566,0.001845591856098257,0.611216,51.49496431664245
SampleBaseModel_119,0.09456634079638691,0.0018442606872819155,0.714379,51.276016155698386
SampleBaseModel_120,0.09433094855103112,0.0018751855121653845,0.652318,50.30486207314057
SampleBaseModel_121,0.0944499463510992,0.0018840670681717767,0.650449,50.13088331444042
SampleBaseModel_122,0.09475403369131875,0.0018747702056574396,0.652716,50.54167887103297
SampleBaseModel_123,0.09444241246214628,0.0018941827073882642,0.638541,49.859188394959695
SampleBaseModel_124,0.09474749832979905,0.0018802844086027602,0.62008,50.38998243898961
SampleBaseModel_125,0.09503959553481146,0.0018589211465658516,0.600788,51.12621141051974
SampleBaseModel_126,0.089824972731782,0.001990892668666278,0.729691,45.11793837281885
SampleBaseModel_127,0.09298722864184295,0.002008342396797722,0.594162,46.300485808649945
SampleBaseModel_128,0.09255489113639988,0.0019980124023602735,0.632527,46.32348178973453
SampleBaseModel_129,0.09203607526084073,0.002001588682011987,0.645718,45.98151262942121
SampleBaseModel_130,0.0922322642115069,0.0019817475260459332,0.645252,46.540875161596716
SampleBaseModel_131,0.09264767938619112,0.001990305258427537,0.661578,46.549482293680136
SampleBaseModel_132,0.0921178263705587,0.001997297083146614,0.635398,46.12124412930746
SampleBaseModel_133,0.09252937172687539,0.0020013056594500546,0.624829,46.23450260581476
SampleBaseModel_134,0.09274462900286687,0.001988378437707523,0.590492,46.643348793198385
SampleBaseModel_135,0.04916133235722945,0.014916156907015152,0.611361,3.295844409769422
SampleBaseModel_136,0.048898258844817466,0.01477124797038244,0.686234,3.3103674748987
SampleBaseModel_137,0.04873254064191532,0.014516717652909163,0.696579,3.3569944533673057
SampleBaseModel_138,0.04901112713963486,0.014730762624879806,0.695763,3.327127616384
SampleBaseModel_139,0.049019301052553255,0.014981579364137352,0.704678,3.2719715232357154
SampleBaseModel_140,0.048735130297802395,0.014677985196067167,0.673415,3.32028746771461
SampleBaseModel_141,0.04896756169495149,0.014894253824170442,0.64394,3.2876814288935226
SampleBaseModel_142,0.04914104932753328,0.014794968938707563,0.595298,3.3214702599994825
SampleBaseModel_143,0.09535981797467599,0.001917999605540186,0.656487,49.71837204722407
SampleBaseModel_144,0.09500274706706408,0.0019206912704574583,0.691231,49.46278901160253
SampleBaseModel_145,0.09449353749136609,0.0019378859939349778,0.7009,48.761143734514576
SampleBaseModel_146,0.09490879048914329,0.001914378415507579,0.705871,49.57681810467923
SampleBaseModel_147,0.09511529316329946,0.001931110953118376,0.714286,49.254183458338524
SampleBaseModel_148,0.09462838108486903,0.001926181958314973,0.690438,49.12743610559518
SampleBaseModel_149,0.09482748102652137,0.0019282786909500063,0.676351,49.177269588454905
SampleBaseModel_150,0.09502118420609872,0.0019391296987527169,0.641068,49.001974580255286
SampleBaseModel_151,0.0961337766660497,0.0019531017350309732,0.604561,49.2210799579906
SampleBaseModel_152,0.09580711184483358,0.0019405491574668692,0.638561,49.37113366913989
SampleBaseModel_153,0.09521610461453786,0.001955215623939112,0.64566,48.698518694684395
SampleBaseModel_154,0.09563751563821789,0.001954457769276788,0.645566,48.93301719873274
SampleBaseModel_155,0.09587645881541128,0.001964264742760047,0.646059,48.81035469826354
SampleBaseModel_156,0.09545911470857807,0.0019878693096541593,0.634744,48.02082020431495
